Course Code,Course description,Grade,Pathway or destination,Enrolment
ADA1O,Drama,Grade 9,Open (Grade 9 - 12 level),34532
ADA2O,Drama,Grade 10,Open (Grade 9 - 12 level),26808
ADA3M,Drama,Grade 11,University/College Preparation (Grade 11 & 12 level),11279
ADA3O,Drama,Grade 11,Open (Grade 9 - 12 level),2440
ADA4E,Drama,Grade 12,Workplace Preparation (Grade 11 & 12 level),206
ADA4M,Drama,Grade 12,University/College Preparation (Grade 11 & 12 level),8107
ADA4O,Drama,Grade 12,Open (Grade 9 - 12 level),<10
ADB1O,Drama - Musical Theatre,Grade 9,Open (Grade 9 - 12 level),229
ADB2O,Drama - Musical Theatre,Grade 10,Open (Grade 9 - 12 level),258
ADB3M,Drama - Musical Theatre,Grade 11,University/College Preparation (Grade 11 & 12 level),624
ADB3O,Drama - Musical Theatre,Grade 11,Open (Grade 9 - 12 level),134
ADB4M,Drama - Musical Theatre,Grade 12,University/College Preparation (Grade 11 & 12 level),610
ADC1O,Drama in the Community,Grade 9,Open (Grade 9 - 12 level),167
ADC2O,Drama in the Community,Grade 10,Open (Grade 9 - 12 level),142
ADC3M,Drama in the Community,Grade 11,University/College Preparation (Grade 11 & 12 level),165
ADC3O,Drama in the Community,Grade 11,Open (Grade 9 - 12 level),110
ADC4M,Drama in the Community,Grade 12,University/College Preparation (Grade 11 & 12 level),332
ADD1O,Drama - Production,Grade 9,Open (Grade 9 - 12 level),549
ADD2O,Drama - Production,Grade 10,Open (Grade 9 - 12 level),750
ADD3M,Drama - Production,Grade 11,University/College Preparation (Grade 11 & 12 level),1024
ADD3O,Drama - Production,Grade 11,Open (Grade 9 - 12 level),194
ADD4M,Drama - Production,Grade 12,University/College Preparation (Grade 11 & 12 level),1104
ADD4O,Drama - Production,Grade 12,Open (Grade 9 - 12 level),<10
ADF3M,Director's Craft,Grade 11,University/College Preparation (Grade 11 & 12 level),47
ADF4M,Director's Craft,Grade 12,University/College Preparation (Grade 11 & 12 level),198
ADG3M,Drama - Acting/Improvisation,Grade 11,University/College Preparation (Grade 11 & 12 level),207
ADG3O,Drama - Acting/Improvisation,Grade 11,Open (Grade 9 - 12 level),100
ADG4M,Drama - Acting/Improvisation,Grade 12,University/College Preparation (Grade 11 & 12 level),216
ADP3M,Drama - Playwriting/Theatre Development,Grade 11,University/College Preparation (Grade 11 & 12 level),63
ADP3O,Drama - Playwriting/Theatre Development,Grade 11,Open (Grade 9 - 12 level),<10
ADP4M,Drama - Playwriting/Theatre Development,Grade 12,University/College Preparation (Grade 11 & 12 level),115
ADT3M,Drama - Canadian Theatre,Grade 11,University/College Preparation (Grade 11 & 12 level),14
ADT4M,Drama - Canadian Theatre,Grade 12,University/College Preparation (Grade 11 & 12 level),17
ADV1O,Drama - Film/Video,Grade 9,Open (Grade 9 - 12 level),99
ADV2O,Drama - Film/Video,Grade 10,Open (Grade 9 - 12 level),142
ADV3M,Drama - Film/Video,Grade 11,University/College Preparation (Grade 11 & 12 level),473
ADV3O,Drama - Film/Video,Grade 11,Open (Grade 9 - 12 level),72
ADV4M,Drama - Film/Video,Grade 12,University/College Preparation (Grade 11 & 12 level),387
AEA3O,Exploring and Creating in the Arts,Grade 11,Open (Grade 9 - 12 level),129
AEA4O,Exploring and Creating in the Arts,Grade 12,Open (Grade 9 - 12 level),1583
ALC1O,Integrated Arts,Grade 9,Open (Grade 9 - 12 level),4204
ALC2O,Integrated Arts,Grade 10,Open (Grade 9 - 12 level),311
AMB1O,Instrumental Music - Brass,Grade 9,Open (Grade 9 - 12 level),98
AMB2O,Instrumental Music - Brass,Grade 10,Open (Grade 9 - 12 level),33
AMB3M,Instrumental Music - Brass,Grade 11,University/College Preparation (Grade 11 & 12 level),42
AMB4M,Instrumental Music - Brass,Grade 12,University/College Preparation (Grade 11 & 12 level),47
AMC1O,Music for Creating,Grade 9,Open (Grade 9 - 12 level),174
AMC2O,Music for Creating,Grade 10,Open (Grade 9 - 12 level),360
AMC3M,Music for Creating,Grade 11,University/College Preparation (Grade 11 & 12 level),251
AMC3O,Music for Creating,Grade 11,Open (Grade 9 - 12 level),128
AMC4M,Music for Creating,Grade 12,University/College Preparation (Grade 11 & 12 level),280
AMD1O,Electronic Music,Grade 9,Open (Grade 9 - 12 level),11
AMD2O,Electronic Music,Grade 10,Open (Grade 9 - 12 level),37
AMD3M,Electronic Music,Grade 11,University/College Preparation (Grade 11 & 12 level),81
AMD3O,Electronic Music,Grade 11,Open (Grade 9 - 12 level),45
AMD4M,Electronic Music,Grade 12,University/College Preparation (Grade 11 & 12 level),37
AME1O,Small Ensemble,Grade 9,Open (Grade 9 - 12 level),115
AME2O,Small Ensemble,Grade 10,Open (Grade 9 - 12 level),279
AME3M,Small Ensemble,Grade 11,University/College Preparation (Grade 11 & 12 level),219
AME3O,Small Ensemble,Grade 11,Open (Grade 9 - 12 level),157
AME4M,Small Ensemble,Grade 12,University/College Preparation (Grade 11 & 12 level),271
AMG1O,Guitar Music,Grade 9,Open (Grade 9 - 12 level),1820
AMG2O,Guitar Music,Grade 10,Open (Grade 9 - 12 level),8323
AMG3M,Guitar Music,Grade 11,University/College Preparation (Grade 11 & 12 level),1857
AMG3O,Guitar Music,Grade 11,Open (Grade 9 - 12 level),2965
AMG4M,Guitar Music,Grade 12,University/College Preparation (Grade 11 & 12 level),1484
AMH1O,Stage-Band Music,Grade 9,Open (Grade 9 - 12 level),67
AMH2O,Stage-Band Music,Grade 10,Open (Grade 9 - 12 level),392
AMH3M,Stage-Band Music,Grade 11,University/College Preparation (Grade 11 & 12 level),499
AMH3O,Stage-Band Music,Grade 11,Open (Grade 9 - 12 level),138
AMH4M,Stage-Band Music,Grade 12,University/College Preparation (Grade 11 & 12 level),593
AMI1O,Instrumental Music - Band,Grade 9,Open (Grade 9 - 12 level),13273
AMI2O,Instrumental Music - Band,Grade 10,Open (Grade 9 - 12 level),6859
AMI3M,Instrumental Music - Band,Grade 11,University/College Preparation (Grade 11 & 12 level),4321
AMI3O,Instrumental Music - Band,Grade 11,Open (Grade 9 - 12 level),179
AMI4M,Instrumental Music - Band,Grade 12,University/College Preparation (Grade 11 & 12 level),3286
AMJ2O,Vocal Jazz,Grade 10,Open (Grade 9 - 12 level),49
AMJ3M,Vocal Jazz,Grade 11,University/College Preparation (Grade 11 & 12 level),96
AMJ3O,Vocal Jazz,Grade 11,Open (Grade 9 - 12 level),20
AMJ4M,Vocal Jazz,Grade 12,University/College Preparation (Grade 11 & 12 level),163
AMK1O,Keyboard Music,Grade 9,Open (Grade 9 - 12 level),573
AMK2O,Keyboard Music,Grade 10,Open (Grade 9 - 12 level),1611
AMK3M,Keyboard Music,Grade 11,University/College Preparation (Grade 11 & 12 level),516
AMK3O,Keyboard Music,Grade 11,Open (Grade 9 - 12 level),252
AMK4M,Keyboard Music,Grade 12,University/College Preparation (Grade 11 & 12 level),337
AMM1O,Music and Computers,Grade 9,Open (Grade 9 - 12 level),98
AMM2O,Music and Computers,Grade 10,Open (Grade 9 - 12 level),725
AMM3M,Music and Computers,Grade 11,University/College Preparation (Grade 11 & 12 level),463
AMM3O,Music and Computers,Grade 11,Open (Grade 9 - 12 level),190
AMM4M,Music and Computers,Grade 12,University/College Preparation (Grade 11 & 12 level),270
AMO1O,Instrumental Music - Orchestra,Grade 9,Open (Grade 9 - 12 level),283
AMO2O,Instrumental Music - Orchestra,Grade 10,Open (Grade 9 - 12 level),138
AMO3M,Instrumental Music - Orchestra,Grade 11,University/College Preparation (Grade 11 & 12 level),116
AMO3O,Instrumental Music - Orchestra,Grade 11,Open (Grade 9 - 12 level),<10
AMO4M,Instrumental Music - Orchestra,Grade 12,University/College Preparation (Grade 11 & 12 level),91
AMP1O,Instrumental Music - Percussion,Grade 9,Open (Grade 9 - 12 level),202
AMP2O,Instrumental Music - Percussion,Grade 10,Open (Grade 9 - 12 level),315
AMP3M,Instrumental Music - Percussion,Grade 11,University/College Preparation (Grade 11 & 12 level),84
AMP3O,Instrumental Music - Percussion,Grade 11,Open (Grade 9 - 12 level),72
AMP4M,Instrumental Music - Percussion,Grade 12,University/College Preparation (Grade 11 & 12 level),57
AMQ1O,Music - Steel Drum,Grade 9,Open (Grade 9 - 12 level),245
AMQ2O,Music - Steel Drum,Grade 10,Open (Grade 9 - 12 level),271
AMQ3M,Music - Steel Drum,Grade 11,University/College Preparation (Grade 11 & 12 level),80
AMQ3O,Music - Steel Drum,Grade 11,Open (Grade 9 - 12 level),45
AMQ4M,Music - Steel Drum,Grade 12,University/College Preparation (Grade 11 & 12 level),52
AMR1O,Repertoire,Grade 9,Open (Grade 9 - 12 level),3854
AMR2O,Repertoire,Grade 10,Open (Grade 9 - 12 level),3646
AMR3M,Repertoire,Grade 11,University/College Preparation (Grade 11 & 12 level),2453
AMR3O,Repertoire,Grade 11,Open (Grade 9 - 12 level),839
AMR4M,Repertoire,Grade 12,University/College Preparation (Grade 11 & 12 level),2495
AMS1O,Instrumental Music - Strings,Grade 9,Open (Grade 9 - 12 level),1968
AMS2O,Instrumental Music - Strings,Grade 10,Open (Grade 9 - 12 level),1297
AMS3M,Instrumental Music - Strings,Grade 11,University/College Preparation (Grade 11 & 12 level),841
AMS3O,Instrumental Music - Strings,Grade 11,Open (Grade 9 - 12 level),38
AMS4M,Instrumental Music - Strings,Grade 12,University/College Preparation (Grade 11 & 12 level),632
AMT1O,Music Theatre,Grade 9,Open (Grade 9 - 12 level),87
AMT2O,Music Theatre,Grade 10,Open (Grade 9 - 12 level),257
AMT3M,Music Theatre,Grade 11,University/College Preparation (Grade 11 & 12 level),603
AMT3O,Music Theatre,Grade 11,Open (Grade 9 - 12 level),145
AMT4M,Music Theatre,Grade 12,University/College Preparation (Grade 11 & 12 level),632
AMU1O,Music,Grade 9,Open (Grade 9 - 12 level),15312
AMU2O,Music,Grade 10,Open (Grade 9 - 12 level),7042
AMU3M,Music,Grade 11,University/College Preparation (Grade 11 & 12 level),4156
AMU3O,Music,Grade 11,Open (Grade 9 - 12 level),650
AMU4E,Music,Grade 12,Workplace Preparation (Grade 11 & 12 level),119
AMU4M,Music,Grade 12,University/College Preparation (Grade 11 & 12 level),3110
AMV1O,Music - Vocal/Choral,Grade 9,Open (Grade 9 - 12 level),3965
AMV2O,Music - Vocal/Choral,Grade 10,Open (Grade 9 - 12 level),4567
AMV3M,Music - Vocal/Choral,Grade 11,University/College Preparation (Grade 11 & 12 level),2692
AMV3O,Music - Vocal/Choral,Grade 11,Open (Grade 9 - 12 level),647
AMV4M,Music - Vocal/Choral,Grade 12,University/College Preparation (Grade 11 & 12 level),2361
AMW1O,Music - Woodwinds,Grade 9,Open (Grade 9 - 12 level),120
AMW2O,Music - Woodwinds,Grade 10,Open (Grade 9 - 12 level),71
AMW3M,Music - Woodwinds,Grade 11,University/College Preparation (Grade 11 & 12 level),75
AMW3O,Music - Woodwinds,Grade 11,Open (Grade 9 - 12 level),<10
AMW4M,Music - Woodwinds,Grade 12,University/College Preparation (Grade 11 & 12 level),63
AMX3M,Music - External (Conservatory),Grade 11,University/College Preparation (Grade 11 & 12 level),258
AMX4M,Music - External (Conservatory),Grade 12,University/College Preparation (Grade 11 & 12 level),461
ASM2O,Media Arts,Grade 10,Open (Grade 9 - 12 level),9559
ASM3M,Media Arts,Grade 11,University/College Preparation (Grade 11 & 12 level),3246
ASM3O,Media Arts,Grade 11,Open (Grade 9 - 12 level),3645
ASM4E,Media Arts,Grade 12,Workplace Preparation (Grade 11 & 12 level),68
ASM4M,Media Arts,Grade 12,University/College Preparation (Grade 11 & 12 level),2336
ASM4O,Media Arts,Grade 12,Open (Grade 9 - 12 level),22
ATB1O,Dance - Ballet,Grade 9,Open (Grade 9 - 12 level),280
ATB2O,Dance - Ballet,Grade 10,Open (Grade 9 - 12 level),293
ATB3M,Dance - Ballet,Grade 11,University/College Preparation (Grade 11 & 12 level),284
ATB4M,Dance - Ballet,Grade 12,University/College Preparation (Grade 11 & 12 level),174
ATC1O,Dance,Grade 9,Open (Grade 9 - 12 level),3479
ATC2O,Dance,Grade 10,Open (Grade 9 - 12 level),5578
ATC3M,Dance,Grade 11,University/College Preparation (Grade 11 & 12 level),2445
ATC3O,Dance,Grade 11,Open (Grade 9 - 12 level),829
ATC4E,Dance,Grade 12,Workplace Preparation (Grade 11 & 12 level),42
ATC4M,Dance,Grade 12,University/College Preparation (Grade 11 & 12 level),1617
ATD2O,Dance - Composition,Grade 10,Open (Grade 9 - 12 level),11
ATD3M,Dance - Composition,Grade 11,University/College Preparation (Grade 11 & 12 level),38
ATD4M,Dance - Composition,Grade 12,University/College Preparation (Grade 11 & 12 level),156
ATF2O,Dance - African,Grade 10,Open (Grade 9 - 12 level),<10
ATF3M,Dance - African,Grade 11,University/College Preparation (Grade 11 & 12 level),<10
ATF3O,Dance - African,Grade 11,Open (Grade 9 - 12 level),<10
ATF4M,Dance - African,Grade 12,University/College Preparation (Grade 11 & 12 level),<10
ATH4M,Dance - History Development,Grade 12,University/College Preparation (Grade 11 & 12 level),<10
ATJ2O,Dance - Jazz,Grade 10,Open (Grade 9 - 12 level),115
ATJ3M,Dance - Jazz,Grade 11,University/College Preparation (Grade 11 & 12 level),29
ATJ3O,Dance - Jazz,Grade 11,Open (Grade 9 - 12 level),24
ATJ4M,Dance - Jazz,Grade 12,University/College Preparation (Grade 11 & 12 level),29
ATL3M,Dance - Central and South American,Grade 11,University/College Preparation (Grade 11 & 12 level),24
ATL3O,Dance - Central and South American,Grade 11,Open (Grade 9 - 12 level),<10
ATM1O,Dance - Modern,Grade 9,Open (Grade 9 - 12 level),249
ATM2O,Dance - Modern,Grade 10,Open (Grade 9 - 12 level),279
ATM3M,Dance - Modern,Grade 11,University/College Preparation (Grade 11 & 12 level),253
ATM4M,Dance - Modern,Grade 12,University/College Preparation (Grade 11 & 12 level),205
ATN2O,Aboriginal Peoples (North American),Grade 10,Open (Grade 9 - 12 level),<10
ATN3M,Aboriginal Peoples (North American),Grade 11,University/College Preparation (Grade 11 & 12 level),<10
ATO2O,Dance - Pacific Rim/Asian,Grade 10,Open (Grade 9 - 12 level),28
ATO3M,Dance - Pacific Rim/Asian,Grade 11,University/College Preparation (Grade 11 & 12 level),19
ATO3O,Dance - Pacific Rim/Asian,Grade 11,Open (Grade 9 - 12 level),10
ATO4M,Dance - Pacific Rim/Asian,Grade 12,University/College Preparation (Grade 11 & 12 level),<10
ATP1O,Dance - Performance Practice,Grade 9,Open (Grade 9 - 12 level),171
ATP2O,Dance - Performance Practice,Grade 10,Open (Grade 9 - 12 level),266
ATP3M,Dance - Performance Practice,Grade 11,University/College Preparation (Grade 11 & 12 level),237
ATP3O,Dance - Performance Practice,Grade 11,Open (Grade 9 - 12 level),<10
ATP4M,Dance - Performance Practice,Grade 12,University/College Preparation (Grade 11 & 12 level),226
ATR3M,Dance-Hip Hop and Urban,Grade 11,University/College Preparation (Grade 11 & 12 level),25
ATR3O,Dance-Hip Hop and Urban,Grade 11,Open (Grade 9 - 12 level),29
ATS2O,"Dance-Social Dance (Ballroom, Swing, Traditional Form)",Grade 10,Open (Grade 9 - 12 level),23
ATS3O,"Dance-Social Dance (Ballroom,Swing, Traditional Forms)",Grade 11,Open (Grade 9 - 12 level),<10
ATS4M,"Dance-Social Dance (Ballroom,Swing, Traditional Forms)",Grade 12,University/College Preparation (Grade 11 & 12 level),12
ATU2O,Dance - Music Theatre,Grade 10,Open (Grade 9 - 12 level),18
ATU3M,Dance - Music Theatre,Grade 11,University/College Preparation (Grade 11 & 12 level),34
ATU4M,Dance - Music Theatre,Grade 12,University/College Preparation (Grade 11 & 12 level),46
ATZ3O,Dance-World Cultures,Grade 11,Open (Grade 9 - 12 level),14
AVI1O,Visual Arts,Grade 9,Open (Grade 9 - 12 level),51968
AVI2O,Visual Arts,Grade 10,Open (Grade 9 - 12 level),33627
AVI3M,Visual Arts,Grade 11,University/College Preparation (Grade 11 & 12 level),18212
AVI3O,Visual Arts,Grade 11,Open (Grade 9 - 12 level),4983
AVI4E,Visual Arts,Grade 12,Workplace Preparation (Grade 11 & 12 level),569
AVI4M,Visual Arts,Grade 12,University/College Preparation (Grade 11 & 12 level),12614
AWA1O,Visual Arts - Crafts,Grade 9,Open (Grade 9 - 12 level),363
AWA2O,Visual Arts - Crafts,Grade 10,Open (Grade 9 - 12 level),2497
AWA3M,Visual Arts - Crafts,Grade 11,University/College Preparation (Grade 11 & 12 level),74
AWA3O,Visual Arts - Crafts,Grade 11,Open (Grade 9 - 12 level),1830
AWA4M,Visual Arts - Crafts,Grade 12,University/College Preparation (Grade 11 & 12 level),367
AWC2O,Visual Arts - Ceramics,Grade 10,Open (Grade 9 - 12 level),537
AWC3M,Visual Arts - Ceramics,Grade 11,University/College Preparation (Grade 11 & 12 level),382
AWC3O,Visual Arts - Ceramics,Grade 11,Open (Grade 9 - 12 level),552
AWC4M,Visual Arts - Ceramics,Grade 12,University/College Preparation (Grade 11 & 12 level),365
AWD1O,Visual Arts - Visual Design,Grade 9,Open (Grade 9 - 12 level),261
AWD2O,Visual Arts - Visual Design,Grade 10,Open (Grade 9 - 12 level),708
AWD3M,Visual Arts - Visual Design,Grade 11,University/College Preparation (Grade 11 & 12 level),1075
AWD3O,Visual Arts - Visual Design,Grade 11,Open (Grade 9 - 12 level),374
AWD4M,Visual Arts - Visual Design,Grade 12,University/College Preparation (Grade 11 & 12 level),1373
AWE2O,Visual Arts - Information/Consumer Design,Grade 10,Open (Grade 9 - 12 level),154
AWE3M,Visual Arts - Information/Consumer Design,Grade 11,University/College Preparation (Grade 11 & 12 level),282
AWE3O,Visual Arts - Information/Consumer Design,Grade 11,Open (Grade 9 - 12 level),196
AWE4M,Visual Arts - Information/Consumer Design,Grade 12,University/College Preparation (Grade 11 & 12 level),553
AWF2O,Visual Arts - Industrial Design,Grade 10,Open (Grade 9 - 12 level),62
AWF3M,Visual Arts - Industrial Design,Grade 11,University/College Preparation (Grade 11 & 12 level),34
AWF3O,Visual Arts - Industrial Design,Grade 11,Open (Grade 9 - 12 level),15
AWF4M,Visual Arts - Industrial Design,Grade 12,University/College Preparation (Grade 11 & 12 level),76
AWG3M,Visual Arts - Environmental Design,Grade 11,University/College Preparation (Grade 11 & 12 level),25
AWG3O,Visual Arts - Environmental Design,Grade 11,Open (Grade 9 - 12 level),28
AWG4M,Visual Arts - Environmental Design,Grade 12,University/College Preparation (Grade 11 & 12 level),<10
AWH2O,Visual Arts - Interior Design,Grade 10,Open (Grade 9 - 12 level),17
AWH3M,Visual Arts - Interior Design,Grade 11,University/College Preparation (Grade 11 & 12 level),80
AWH3O,Visual Arts - Interior Design,Grade 11,Open (Grade 9 - 12 level),46
AWH4M,Visual Arts - Interior Design,Grade 12,University/College Preparation (Grade 11 & 12 level),100
AWI1O,Visual Arts - Fashion and Textile Design,Grade 9,Open (Grade 9 - 12 level),57
AWI2O,Visual Arts - Fashion and Textile Design,Grade 10,Open (Grade 9 - 12 level),237
AWI3M,Visual Arts - Fashion and Textile Design,Grade 11,University/College Preparation (Grade 11 & 12 level),121
AWI3O,Visual Arts - Fashion and Textile Design,Grade 11,Open (Grade 9 - 12 level),237
AWI4M,Visual Arts - Fashion and Textile Design,Grade 12,University/College Preparation (Grade 11 & 12 level),132
AWJ2O,Visual Arts - Stage Design,Grade 10,Open (Grade 9 - 12 level),18
AWJ3M,Visual Arts - Stage Design,Grade 11,University/College Preparation (Grade 11 & 12 level),57
AWJ3O,Visual Arts - Stage Design,Grade 11,Open (Grade 9 - 12 level),78
AWJ4M,Visual Arts - Stage Design,Grade 12,University/College Preparation (Grade 11 & 12 level),55
AWK1O,Visual Arts - Illustration,Grade 9,Open (Grade 9 - 12 level),26
AWK2O,Visual Arts - Illustration,Grade 10,Open (Grade 9 - 12 level),157
AWK3M,Visual Arts - Illustration,Grade 11,University/College Preparation (Grade 11 & 12 level),128
AWK3O,Visual Arts - Illustration,Grade 11,Open (Grade 9 - 12 level),135
AWK4M,Visual Arts - Illustration,Grade 12,University/College Preparation (Grade 11 & 12 level),255
AWL1O,Visual Arts - Drawing,Grade 9,Open (Grade 9 - 12 level),58
AWL2O,Visual Arts - Drawing,Grade 10,Open (Grade 9 - 12 level),171
AWL3M,Visual Arts - Drawing,Grade 11,University/College Preparation (Grade 11 & 12 level),412
AWL3O,Visual Arts - Drawing,Grade 11,Open (Grade 9 - 12 level),175
AWL4M,Visual Arts - Drawing,Grade 12,University/College Preparation (Grade 11 & 12 level),372
AWM1O,Visual Arts - Drawing and Painting,Grade 9,Open (Grade 9 - 12 level),298
AWM2O,Visual Arts - Drawing and Painting,Grade 10,Open (Grade 9 - 12 level),527
AWM3M,Visual Arts - Drawing and Painting,Grade 11,University/College Preparation (Grade 11 & 12 level),836
AWM3O,Visual Arts - Drawing and Painting,Grade 11,Open (Grade 9 - 12 level),305
AWM4M,Visual Arts - Drawing and Painting,Grade 12,University/College Preparation (Grade 11 & 12 level),1336
AWN2O,Visual Arts - Painting,Grade 10,Open (Grade 9 - 12 level),26
AWN3M,Visual Arts - Painting,Grade 11,University/College Preparation (Grade 11 & 12 level),118
AWN3O,Visual Arts - Painting,Grade 11,Open (Grade 9 - 12 level),101
AWN4M,Visual Arts - Painting,Grade 12,University/College Preparation (Grade 11 & 12 level),426
AWO1O,Visual Arts - Printmaking,Grade 9,Open (Grade 9 - 12 level),18
AWO2O,Visual Arts - Printmaking,Grade 10,Open (Grade 9 - 12 level),140
AWO3M,Visual Arts - Printmaking,Grade 11,University/College Preparation (Grade 11 & 12 level),239
AWO3O,Visual Arts - Printmaking,Grade 11,Open (Grade 9 - 12 level),220
AWO4M,Visual Arts - Printmaking,Grade 12,University/College Preparation (Grade 11 & 12 level),210
AWP2O,Visual Arts - Sculpture,Grade 10,Open (Grade 9 - 12 level),252
AWP3M,Visual Arts - Sculpture,Grade 11,University/College Preparation (Grade 11 & 12 level),317
AWP3O,Visual Arts - Sculpture,Grade 11,Open (Grade 9 - 12 level),254
AWP4M,Visual Arts - Sculpture,Grade 12,University/College Preparation (Grade 11 & 12 level),333
AWQ1O,Visual Arts - Photography,Grade 9,Open (Grade 9 - 12 level),57
AWQ2O,Visual Arts - Photography,Grade 10,Open (Grade 9 - 12 level),3833
AWQ3M,Visual Arts - Photography,Grade 11,University/College Preparation (Grade 11 & 12 level),7395
AWQ3O,Visual Arts - Photography,Grade 11,Open (Grade 9 - 12 level),5490
AWQ4M,Visual Arts - Photography,Grade 12,University/College Preparation (Grade 11 & 12 level),4562
AWR1O,Visual Arts - Film/Video,Grade 9,Open (Grade 9 - 12 level),40
AWR2O,Visual Arts - Film/Video,Grade 10,Open (Grade 9 - 12 level),178
AWR3M,Visual Arts - Film/Video,Grade 11,University/College Preparation (Grade 11 & 12 level),903
AWR3O,Visual Arts - Film/Video,Grade 11,Open (Grade 9 - 12 level),531
AWR4M,Visual Arts - Film/Video,Grade 12,University/College Preparation (Grade 11 & 12 level),1031
AWS1O,Visual Arts - Digital Media,Grade 9,Open (Grade 9 - 12 level),584
AWS2O,Visual Arts - Digital Media,Grade 10,Open (Grade 9 - 12 level),1075
AWS3M,Visual Arts - Digital Media,Grade 11,University/College Preparation (Grade 11 & 12 level),1075
AWS3O,Visual Arts - Digital Media,Grade 11,Open (Grade 9 - 12 level),363
AWS4M,Visual Arts - Digital Media,Grade 12,University/College Preparation (Grade 11 & 12 level),786
AWT1O,Visual Arts - Non-Traditional,Grade 9,Open (Grade 9 - 12 level),136
AWT2O,Visual Arts - Non-Traditional,Grade 10,Open (Grade 9 - 12 level),612
AWT3M,Visual Arts - Non-Traditional,Grade 11,University/College Preparation (Grade 11 & 12 level),407
AWT3O,Visual Arts - Non-Traditional,Grade 11,Open (Grade 9 - 12 level),322
