Course Code,Course description,Grade,Pathway or destination,Enrolment
PAF4O,Personal and Fitness Activities,Grade 12,Open (Grade 9 - 12 level),21996
PAI1O,Individual and Small Group Activities,Grade 9,Open (Grade 9 - 12 level),505
PAI2O,Individual and Small Group Activities,Grade 10,Open (Grade 9 - 12 level),1530
PAI3O,Individual and Small Group Activities,Grade 11,Open (Grade 9 - 12 level),2841
PAI4O,Individual and Small Group Activities,Grade 12,Open (Grade 9 - 12 level),1569
PAL1O,Large Group Activities,Grade 9,Open (Grade 9 - 12 level),1227
PAL2O,Large Group Activities,Grade 10,Open (Grade 9 - 12 level),4193
PAL3O,Large Group Activities,Grade 11,Open (Grade 9 - 12 level),5388
PAL4O,Large Group Activities,Grade 12,Open (Grade 9 - 12 level),2076
PAQ1O,Aquatics,Grade 9,Open (Grade 9 - 12 level),19
PAQ2O,Aquatics,Grade 10,Open (Grade 9 - 12 level),293
PAQ3O,Aquatics,Grade 11,Open (Grade 9 - 12 level),286
PAQ4O,Aquatics,Grade 12,Open (Grade 9 - 12 level),76
PAR1O,Rhythm and Movement,Grade 9,Open (Grade 9 - 12 level),208
PAR2O,Rhythm and Movement,Grade 10,Open (Grade 9 - 12 level),672
PAR3O,Rhythm and Movement,Grade 11,Open (Grade 9 - 12 level),604
PAR4O,Rhythm and Movement,Grade 12,Open (Grade 9 - 12 level),219
PLF4C,Recreation and Fitness Leadership,Grade 12,College Preparation (Grade 11 & 12 level),5255
PPF1O,Vie active et sant‚ (filles),Grade 9,Open (Grade 9 - 12 level),1184
PPF2O,Vie active et sant‚ (filles),Grade 10,Open (Grade 9 - 12 level),232
PPL1O,Healthy Active Living Education,Grade 9,Open (Grade 9 - 12 level),132998
PPL2O,Healthy Active Living Education,Grade 10,Open (Grade 9 - 12 level),54266
PPL3O,Healthy Active Living Education,Grade 11,Open (Grade 9 - 12 level),42010
PPL4O,Healthy Active Living Education,Grade 12,Open (Grade 9 - 12 level),29242
PPM1O,Vie active et sant‚ (gar‡ons),Grade 9,Open (Grade 9 - 12 level),1069
PPM2O,Vie active et sant‚ (gar‡ons),Grade 10,Open (Grade 9 - 12 level),328
PPZ3O,Health for Life,Grade 11,Open (Grade 9 - 12 level),11609
PSE4U,Exercise Science,Grade 12,University Preparation (Grade 11 & 12 level),17850
SBI3C,Biology,Grade 11,College Preparation (Grade 11 & 12 level),23808
SBI3K,"Biology Transfer, Grade 11, College to University",Grade 11,University Preparation (Transfer),<10
SBI3U,Biology,Grade 11,University Preparation (Grade 11 & 12 level),64607
SBI4U,Biology,Grade 12,University Preparation (Grade 11 & 12 level),40394
SCH3K,"Chemistry Transfer, Grade 12, College to University",Grade 11,University Preparation (Transfer),<10
SCH3U,Chemistry,Grade 11,University Preparation (Grade 11 & 12 level),63467
SCH4C,Chemistry,Grade 12,College Preparation (Grade 11 & 12 level),14152
SCH4U,Chemistry,Grade 12,University Preparation (Grade 11 & 12 level),41947
SES4U,Earth and Space Science,Grade 12,University Preparation (Grade 11 & 12 level),4326
SNC1D,Science,Grade 9,Academic (Grade 9 & 10 level),106871
SNC1P,Science,Grade 9,Applied (Grade 9 & 10 level),39971
SNC2D,Science,Grade 10,Academic (Grade 9 & 10 level),106343
SNC2H,"Science Transfer, Grade 10, Applied to Academic",Grade 10,Academic (Transfer),<10
SNC2P,Science,Grade 10,Applied (Grade 9 & 10 level),44320
SNC3E,Science,Grade 11,Workplace Preparation (Grade 11 & 12 level),74
SNC3M,Science,Grade 11,University/College Preparation (Grade 11 & 12 level),<10
SNC4E,Science,Grade 12,Workplace Preparation (Grade 11 & 12 level),1233
SNC4M,Science,Grade 12,University/College Preparation (Grade 11 & 12 level),3330
SPH3U,Physics,Grade 11,University Preparation (Grade 11 & 12 level),45403
SPH4C,Physics,Grade 12,College Preparation (Grade 11 & 12 level),7205
SPH4U,Physics,Grade 12,University Preparation (Grade 11 & 12 level),25915
SVN3E,Environmental Science,Grade 11,Workplace Preparation (Grade 11 & 12 level),5996
SVN3M,Environmental Science,Grade 11,University/College Preparation (Grade 11 & 12 level),4799
TCC3E,Construction Technology: Carpentry,Grade 11,Workplace Preparation (Grade 11 & 12 level),427
TCC4E,Construction Technology: Carpentry,Grade 12,Workplace Preparation (Grade 11 & 12 level),200
TCE3E,Construction Technology: Electrical/Network Cabling,Grade 11,Workplace Preparation (Grade 11 & 12 level),811
TCE4E,Construction Technology: Electrical/Network Cabling,Grade 12,Workplace Preparation (Grade 11 & 12 level),406
TCH3E,Construction Technology: Heating and Cooling,Grade 11,Workplace Preparation (Grade 11 & 12 level),77
TCH4E,Construction Technology: Heating and Cooling,Grade 12,Workplace Preparation (Grade 11 & 12 level),61
TCJ1O,Exploring Construction Technology,Grade 9,Open (Grade 9 - 12 level),2221
TCJ2O,Construction Technology,Grade 10,Open (Grade 9 - 12 level),17533
TCJ3C,Construction Engineering Technology,Grade 11,College Preparation (Grade 11 & 12 level),13132
TCJ3E,Construction Technology,Grade 11,Workplace Preparation (Grade 11 & 12 level),5372
TCJ4C,Construction Engineering Technology,Grade 12,College Preparation (Grade 11 & 12 level),5433
TCJ4E,Construction Technology,Grade 12,Workplace Preparation (Grade 11 & 12 level),2448
TCM3E,Construction Technology: Masonry,Grade 11,Workplace Preparation (Grade 11 & 12 level),54
TCM4E,Construction Technology: Masonry,Grade 12,Workplace Preparation (Grade 11 & 12 level),14
TCP3E,Construction Technology: Plumbing,Grade 11,Workplace Preparation (Grade 11 & 12 level),92
TCP4E,Construction Technology: Plumbing,Grade 12,Workplace Preparation (Grade 11 & 12 level),102
TCS3C,Construction Engineering Technology: Construction Management and Science,Grade 11,College Preparation (Grade 11 & 12 level),30
TCS4C,Construction Engineering Technology: Construction Management and Science,Grade 12,College Preparation (Grade 11 & 12 level),47
TDA3M,Technological Design: Architectural Design,Grade 11,University/College Preparation (Grade 11 & 12 level),1343
TDA4M,Technological Design: Architectural Design,Grade 12,University/College Preparation (Grade 11 & 12 level),731
TDJ1O,Exploring Technology Design,Grade 9,Open (Grade 9 - 12 level),1264
TDJ2O,Technological Design,Grade 10,Open (Grade 9 - 12 level),8440
TDJ3M,Technological Design,Grade 11,University/College Preparation (Grade 11 & 12 level),9311
TDJ3O,Technological Design and the Environment,Grade 11,Open (Grade 9 - 12 level),1099
TDJ4M,Technological Design,Grade 12,University/College Preparation (Grade 11 & 12 level),4029
TDJ4O,Technological Design in the 21st Century,Grade 12,Open (Grade 9 - 12 level),427
TDM3M,Technological Design: Mechanical and Industrial Design,Grade 11,University/College Preparation (Grade 11 & 12 level),174
TDM4M,Technological Design: Mechanical and Industrial Design,Grade 12,University/College Preparation (Grade 11 & 12 level),75
TDP3M,Technological Design: Apparel and Textile Design,Grade 11,University/College Preparation (Grade 11 & 12 level),305
TDP4M,Technological Design: Apparel and Textile Design,Grade 12,University/College Preparation (Grade 11 & 12 level),154
TDR3M,Technological Design: Robotics and Control Systems Design,Grade 11,University/College Preparation (Grade 11 & 12 level),128
TDR4M,Technological Design: Robotics and Control Systems Design,Grade 12,University/College Preparation (Grade 11 & 12 level),47
TDV3M,Technological Design: Interior Design,Grade 11,University/College Preparation (Grade 11 & 12 level),300
TDV4M,Technological Design: Interior Design,Grade 12,University/College Preparation (Grade 11 & 12 level),102
TEC3E,Computer Technology: Computer Repair,Grade 11,Workplace Preparation (Grade 11 & 12 level),13
TEI3M,Computer Engineering Technology: Interfacing,Grade 11,University/College Preparation (Grade 11 & 12 level),19
TEI4M,Computer Engineering Technology: Interfacing,Grade 12,University/College Preparation (Grade 11 & 12 level),11
TEJ1O,Exploring Computer Technology,Grade 9,Open (Grade 9 - 12 level),1799
TEJ2O,Computer Technology,Grade 10,Open (Grade 9 - 12 level),6027
TEJ3E,Computer Technology,Grade 11,Workplace Preparation (Grade 11 & 12 level),595
TEJ3M,Computer Engineering Technology,Grade 11,University/College Preparation (Grade 11 & 12 level),7335
TEJ4E,Computer Technology,Grade 12,Workplace Preparation (Grade 11 & 12 level),59
TEJ4M,Computer Engineering Technology,Grade 12,University/College Preparation (Grade 11 & 12 level),2724
TEL3M,Computer Engineering Technology: Electronics,Grade 11,University/College Preparation (Grade 11 & 12 level),207
TEL4M,Computer Engineering Technology: Electronics,Grade 12,University/College Preparation (Grade 11 & 12 level),60
TEN3M,Computer Engineering Technology: Networking,Grade 11,University/College Preparation (Grade 11 & 12 level),197
TEN4M,Computer Engineering Technology: Networking,Grade 12,University/College Preparation (Grade 11 & 12 level),124
TER3M,Computer Engineering Technology: Robotics and Control Systems,Grade 11,University/College Preparation (Grade 11 & 12 level),203
TER4M,Computer Engineering Technology: Robotics and Control Systems,Grade 12,University/College Preparation (Grade 11 & 12 level),130
TEW3E,Computer Technology: Network Support,Grade 11,Workplace Preparation (Grade 11 & 12 level),<10
TFB3E,Hospitality and Tourism: Baking,Grade 11,Workplace Preparation (Grade 11 & 12 level),1929
TFB4E,Hospitality and Tourism: Baking,Grade 12,Workplace Preparation (Grade 11 & 12 level),600
TFC3E,Hospitality and Tourism: Cooking,Grade 11,Workplace Preparation (Grade 11 & 12 level),1632
TFC4E,Hospitality and Tourism: Cooking,Grade 12,Workplace Preparation (Grade 11 & 12 level),687
TFE3E,Hospitality and Tourism: Event Planning,Grade 11,Workplace Preparation (Grade 11 & 12 level),227
TFE4E,Hospitality and Tourism: Event Planning,Grade 12,Workplace Preparation (Grade 11 & 12 level),36
TFH3E,Hospitality and Tourism,Grade 11,Workplace Preparation (Grade 11 & 12 level),70
TFH4E,Hospitality and Tourism,Grade 12,Workplace Preparation (Grade 11 & 12 level),21
TFJ1O,Exploring Hospitality and Tourism,Grade 9,Open (Grade 9 - 12 level),2492
TFJ2O,Hospitality and Tourism,Grade 10,Open (Grade 9 - 12 level),14720
TFJ3C,Hospitality and Tourism,Grade 11,College Preparation (Grade 11 & 12 level),9400
TFJ3E,Hospitality and Tourism,Grade 11,Workplace Preparation (Grade 11 & 12 level),5170
TFJ4C,Hospitality and Tourism,Grade 12,College Preparation (Grade 11 & 12 level),2900
TFJ4E,Hospitality and Tourism,Grade 12,Workplace Preparation (Grade 11 & 12 level),2399
TFN3C,Hospitality and Tourism: Applied Nutrition,Grade 11,College Preparation (Grade 11 & 12 level),91
TFN4C,Hospitality and Tourism: Applied Nutrition,Grade 12,College Preparation (Grade 11 & 12 level),<10
TFR3C,Hospitality and Tourism: Culinary Arts and Management,Grade 11,College Preparation (Grade 11 & 12 level),858
TFR4C,Hospitality and Tourism: Culinary Arts and Management,Grade 12,College Preparation (Grade 11 & 12 level),358
TFS4C,Tourism,Grade 12,College Preparation (Grade 11 & 12 level),71
TFT3C,Hospitality and Tourism: Tourism and Travel Planning,Grade 11,College Preparation (Grade 11 & 12 level),433
TFT4C,Hospitality and Tourism: Tourism and Travel Planning,Grade 12,College Preparation (Grade 11 & 12 level),77
TGG3M,Communications Technology: Print and Graphic Communications,Grade 11,University/College Preparation (Grade 11 & 12 level),1980
TGG4M,Communications Technology: Print and Graphic Communications,Grade 12,University/College Preparation (Grade 11 & 12 level),1512
TGI3M,Communications Technology: Interactive New Media and Animation,Grade 11,University/College Preparation (Grade 11 & 12 level),1066
TGI4M,Communications Technology: Interactive New Media and Animation,Grade 12,University/College Preparation (Grade 11 & 12 level),545
TGJ1O,Exploring Communications Technology,Grade 9,Open (Grade 9 - 12 level),2770
TGJ2O,Communications Technology,Grade 10,Open (Grade 9 - 12 level),17148
TGJ3E,"Communications Technology, Grade 11, Workplace Preparation",Grade 11,Workplace Preparation (Grade 11 & 12 level),<10
TGJ3M,"Communications Technology, Grade 11, University/College Preparation",Grade 11,University/College Preparation (Grade 11 & 12 level),15725
TGJ3O,Communications Technology: Broadcast and Print Production,Grade 11,Open (Grade 9 - 12 level),1641
TGJ4E,"Communications Technology, Grade 12, Workplace Preparation",Grade 12,Workplace Preparation (Grade 11 & 12 level),<10
TGJ4M,"Communications Technology, Grade 12, University/College Preparation",Grade 12,University/College Preparation (Grade 11 & 12 level),7930
TGJ4O,Communications Technology: Digital Imagery and Web Design,Grade 12,Open (Grade 9 - 12 level),1190
TGP3M,Communications Technology: Photography and Digital Imaging,Grade 11,University/College Preparation (Grade 11 & 12 level),2781
TGP4M,Communications Technology: Photography and Digital Imaging,Grade 12,University/College Preparation (Grade 11 & 12 level),1248
TGR3M,"Communications Technology: Radio, Audio and Sound Production",Grade 11,University/College Preparation (Grade 11 & 12 level),298
TGR4M,"Communications Technology: Radio, Audio and Sound Production",Grade 12,University/College Preparation (Grade 11 & 12 level),136
TGV3M,"Communications Technology: TV, Video and Movie Production",Grade 11,University/College Preparation (Grade 11 & 12 level),2331
TGV4M,"Communications Technology: TV, Video and Movie Production",Grade 12,University/College Preparation (Grade 11 & 12 level),1459
THA3M,Green Industries: Agribusiness,Grade 11,University/College Preparation (Grade 11 & 12 level),43
THA4M,Green Industries: Agribusiness,Grade 12,University/College Preparation (Grade 11 & 12 level),25
THD3M,Green Industries: Landscaping and Architecture,Grade 11,University/College Preparation (Grade 11 & 12 level),60
THD4M,Green Industries: Landscaping and Architecture,Grade 12,University/College Preparation (Grade 11 & 12 level),79
THF3E,Green Industries: Floristry,Grade 11,Workplace Preparation (Grade 11 & 12 level),44
THF4E,Green Industries: Floristry,Grade 12,Workplace Preparation (Grade 11 & 12 level),10
THG3E,Green Industries: Agriculture,Grade 11,Workplace Preparation (Grade 11 & 12 level),16
THG4E,Green Industries: Agriculture,Grade 12,Workplace Preparation (Grade 11 & 12 level),<10
THH3E,Green Industries: Horticulture,Grade 11,Workplace Preparation (Grade 11 & 12 level),208
THH4E,Green Industries: Horticulture,Grade 12,Workplace Preparation (Grade 11 & 12 level),112
THJ1O,Exploring Green Industries,Grade 9,Open (Grade 9 - 12 level),352
THJ2O,Green Industries,Grade 10,Open (Grade 9 - 12 level),1294
THJ3E,Green Industries,Grade 11,Workplace Preparation (Grade 11 & 12 level),1087
THJ3M,Green Industries,Grade 11,University/College Preparation (Grade 11 & 12 level),974
THJ4E,Green Industries,Grade 12,Workplace Preparation (Grade 11 & 12 level),294
THJ4M,Green Industries,Grade 12,University/College Preparation (Grade 11 & 12 level),314
THL3E,Green Industries: Landscaping Construction and Maintenance,Grade 11,Workplace Preparation (Grade 11 & 12 level),126
THL4E,Green Industries: Landscaping Construction and Maintenance,Grade 12,Workplace Preparation (Grade 11 & 12 level),131
THO3E,Green Industries: Forestry,Grade 11,Workplace Preparation (Grade 11 & 12 level),72
THO3M,Green Industries: Forestry,Grade 11,University/College Preparation (Grade 11 & 12 level),34
THO4E,Green Industries: Forestry,Grade 12,Workplace Preparation (Grade 11 & 12 level),16
THO4M,Green Industries: Forestry,Grade 12,University/College Preparation (Grade 11 & 12 level),10
THS3M,Green Industries: Horticulture Management and Science,Grade 11,University/College Preparation (Grade 11 & 12 level),31
THS4M,Green Industries: Horticulture Management and Science,Grade 12,University/College Preparation (Grade 11 & 12 level),41
TIJ1O,Exploring Technologies,Grade 9,Open (Grade 9 - 12 level),46404
TIK2O,Computer and Information Science,Grade 10,Open (Grade 9 - 12 level),<10
TMC3C,Manufacturing Technology: Computer Aided Manufacturing,Grade 11,College Preparation (Grade 11 & 12 level),<10
TMI3C,Manufacturing Technology: Industrial Maintenance,Grade 11,College Preparation (Grade 11 & 12 level),106
TMI4C,Manufacturing Technology: Industrial Maintenance,Grade 12,College Preparation (Grade 11 & 12 level),48
TMJ1O,Exploring Manufacturing Technology,Grade 9,Open (Grade 9 - 12 level),953
TMJ2O,Manufacturing Technology,Grade 10,Open (Grade 9 - 12 level),7217
TMJ3C,Manufacturing Technology,Grade 11,College Preparation (Grade 11 & 12 level),5236
TMJ3E,Manufacturing Technology,Grade 11,Workplace Preparation (Grade 11 & 12 level),3001
TMJ3M,Manufacturing Engineering Technology,Grade 11,University/College Preparation (Grade 11 & 12 level),1002
TMJ4C,Manufacturing Technology,Grade 12,College Preparation (Grade 11 & 12 level),2218
TMJ4E,Manufacturing Technology,Grade 12,Workplace Preparation (Grade 11 & 12 level),1253
TMJ4M,Manufacturing Engineering Technology,Grade 12,University/College Preparation (Grade 11 & 12 level),530
TMM3M,Manufacturing Engineering Technology: Mechanical Engineering,Grade 11,University/College Preparation (Grade 11 & 12 level),82
TMM4M,Manufacturing Engineering Technology: Mechanical Engineering,Grade 12,University/College Preparation (Grade 11 & 12 level),32
TMO3E,Manufacturing Technology: Machine Operator,Grade 11,Workplace Preparation (Grade 11 & 12 level),24
TMO4E,Manufacturing Technology: Machine Operator,Grade 12,Workplace Preparation (Grade 11 & 12 level),<10
TMP3C,Manufacturing Technology: Precision Machining,Grade 11,College Preparation (Grade 11 & 12 level),186
TMP4C,Manufacturing Technology: Precision Machining,Grade 12,College Preparation (Grade 11 & 12 level),104
TMR3M,Manufacturing Engineering Technology: Robotics and Control Systems,Grade 11,University/College Preparation (Grade 11 & 12 level),164
TMR4M,Manufacturing Engineering Technology: Robotics and Control Systems,Grade 12,University/College Preparation (Grade 11 & 12 level),38
TMS3E,Manufacturing Technology: Sheet Metal,Grade 11,Workplace Preparation (Grade 11 & 12 level),34
TMS4E,Manufacturing Technology: Sheet Metal,Grade 12,Workplace Preparation (Grade 11 & 12 level),<10
TMT4C,Manufacturing Technology: Robotics and Control Systems Technician,Grade 12,College Preparation (Grade 11 & 12 level),<10
TMW3E,Manufacturing Technology: Welding,Grade 11,Workplace Preparation (Grade 11 & 12 level),1018
TMW4E,Manufacturing Technology: Welding,Grade 12,Workplace Preparation (Grade 11 & 12 level),507
TMY3C,Manufacturing Technology: Welding Technician,Grade 11,College Preparation (Grade 11 & 12 level),408
TMY4C,Manufacturing Technology: Welding Technician,Grade 12,College Preparation (Grade 11 & 12 level),192
TOC4C,Child Development and Gerontology: Child Development,Grade 12,College Preparation (Grade 11 & 12 level),43
TOJ4C,Child Development and Gerontology,Grade 12,College Preparation (Grade 11 & 12 level),1695
TPD3M,Health Care: Dental Services,Grade 11,University/College Preparation (Grade 11 & 12 level),<10
TPD4M,Health Care: Dental Services,Grade 12,University/College Preparation (Grade 11 & 12 level),10
TPE3E,Hairstyling and Aesthetics,Grade 11,Workplace Preparation (Grade 11 & 12 level),<10
TPJ1O,Exploring Health Care,Grade 9,Open (Grade 9 - 12 level),191
TPJ2O,Health Care,Grade 10,Open (Grade 9 - 12 level),978
TPJ3C,Health Care,Grade 11,College Preparation (Grade 11 & 12 level),2732
TPJ3M,Health Care,Grade 11,University/College Preparation (Grade 11 & 12 level),3295
TPJ4C,Health Care,Grade 12,College Preparation (Grade 11 & 12 level),1103
TPJ4E,Health Care: Support Services,Grade 12,Workplace Preparation (Grade 11 & 12 level),174
TPJ4M,Health Care,Grade 12,University/College Preparation (Grade 11 & 12 level),1234
TPM4M,Health Care: Nursing/Medical Services,Grade 12,University/College Preparation (Grade 11 & 12 level),<10
TPO4C,Child Development and Gerontology,Grade 12,College Preparation (Grade 11 & 12 level),29
TPT4M,Health Care: Therapy Services,Grade 12,University/College Preparation (Grade 11 & 12 level),16
TTA3C,Transportation Technology: Auto Service,Grade 11,College Preparation (Grade 11 & 12 level),1917
TTA4C,Transportation Technology: Auto Service,Grade 12,College Preparation (Grade 11 & 12 level),1004
TTB3C,Transportation Technology: Auto Body,Grade 11,College Preparation (Grade 11 & 12 level),757
TTB4C,Transportation Technology: Auto Body,Grade 12,College Preparation (Grade 11 & 12 level),356
TTH3C,Transportation Technology: Heavy Duty and Agricultural Equipment,Grade 11,College Preparation (Grade 11 & 12 level),84
TTH4C,Transportation Technology: Heavy Duty and Agricultural Equipment,Grade 12,College Preparation (Grade 11 & 12 level),40
TTI1O,Integrated Technologies,Grade 9,Open (Grade 9 - 12 level),305
TTJ1O,Exploring Transportation Technology,Grade 9,Open (Grade 9 - 12 level),1443
TTJ2O,Transportation Technology,Grade 10,Open (Grade 9 - 12 level),17653
TTJ3C,Transportation Technology,Grade 11,College Preparation (Grade 11 & 12 level),15441
TTJ3E,Transportation Technology,Grade 11,Workplace Preparation (Grade 11 & 12 level),115
TTJ3O,Transportation Technology: Vehicle Ownership,Grade 11,Open (Grade 9 - 12 level),2567
TTJ4C,Transportation Technology,Grade 12,College Preparation (Grade 11 & 12 level),6748
TTJ4E,Transportation Technology: Vehicle Maintenance,Grade 12,Workplace Preparation (Grade 11 & 12 level),1774
TTL3C,Transportation Technology: Light Aircraft,Grade 11,College Preparation (Grade 11 & 12 level),43
TTL4C,Transportation Technology: Light Aircraft,Grade 12,College Preparation (Grade 11 & 12 level),12
TTS3C,Transportation Technology: Small Engine and Recreational Equipment,Grade 11,College Preparation (Grade 11 & 12 level),859
TTS4C,Transportation Technology: Small Engine and Recreational Equipment,Grade 12,College Preparation (Grade 11 & 12 level),198
TTT3C,Transportation Technology: Truck and Coach,Grade 11,College Preparation (Grade 11 & 12 level),52
TTT4C,Transportation Technology: Truck and Coach,Grade 12,College Preparation (Grade 11 & 12 level),30
TWJ3E,Custom Woodworking,Grade 11,Workplace Preparation (Grade 11 & 12 level),6025
TWJ4E,Custom Woodworking,Grade 12,Workplace Preparation (Grade 11 & 12 level),2262
TXA3E,Hairstyling and Aesthetics: Aesthetics,Grade 11,Workplace Preparation (Grade 11 & 12 level),209
TXA4E,Hairstyling and Aesthetics: Aesthetics,Grade 12,Workplace Preparation (Grade 11 & 12 level),137
TXH3E,Hairstyling and Aesthetics: Hairstyling,Grade 11,Workplace Preparation (Grade 11 & 12 level),546
TXH4E,Hairstyling and Aesthetics: Hairstyling,Grade 12,Workplace Preparation (Grade 11 & 12 level),221
TXJ1O,Exploring Hairstyling and Aesthetics,Grade 9,Open (Grade 9 - 12 level),1185
TXJ2O,Hairstyling and Aesthetics,Grade 10,Open (Grade 9 - 12 level),7326
TXJ3E,Hairstyling and Aesthetics,Grade 11,Workplace Preparation (Grade 11 & 12 level),6094
TXJ4E,Hairstyling and Aesthetics,Grade 12,Workplace Preparation (Grade 11 & 12 level),2136
