,,"ACTIVE APPRENTICESHIP PROGRAM PARTICIPANTS, APPRENTICESHIP SPONSORS & APPROVED TRAINING DELIVERY AGENTS (TDA) BY TRADE - PROVINCE OF ONTARIO",,,,,,,,,,,,
TRADE SECTOR,TRADE NAME,TRADE CODE,RED SEAL,TOTAL PARTICIPANTS,FEMALE,MALE,AGE UNDER 20,AGE 20-29,AGE 30-44,AGE 45-54,AGE 55PLUS,SPONSORS*,PUBLIC TDAS*,PRIVATE TDAS*
AUTOMOTIVE,Agricultural Equipment Technician,425A,YES,366,<20,>20,>20,>20,>20,<20,0,174,9,1
AUTOMOTIVE,Alignment and Brakes Technician,310E,NO,48,<20,>20,0,<20,<20,<20,<20,25,1,0
AUTOMOTIVE,Auto Body and Collision Damage Repairer,310B,YES,1160,36,1124,>20,>20,>20,>20,<20,806,5,0
AUTOMOTIVE,Auto Body Repairer,310Q,NO,144,<20,>20,<20,71,46,<20,<20,137,5,0
AUTOMOTIVE,Automotive Electronic Accessory Technician,310K,NO,60,0,60,0,40,<20,<20,<20,46,0,0
AUTOMOTIVE,Automotive Glass Technician,274L,NO,37,<20,>20,0,<20,<20,<20,<20,18,0,0
AUTOMOTIVE,Automotive Painter,410N,YES,121,<20,>20,<20,82,32,<20,<20,106,1,0
AUTOMOTIVE,Automotive Service Technician,310S,YES,10917,368,10549,1437,7163,1984,270,63,5603,16,0
AUTOMOTIVE,Heavy Duty Equipment Technician,421A,YES,1565,26,1539,>20,>20,>20,>20,<20,553,11,1
AUTOMOTIVE,Marine Engine Technician,435B,NO,213,<20,>20,<20,139,50,<20,<20,156,4,0
AUTOMOTIVE,Motive Power Machinist,410K,NO,40,0,40,<20,<20,<20,<20,<20,20,0,0
AUTOMOTIVE,Motorcycle Technician,310G,YES,297,<20,>20,24,165,82,<20,<20,181,2,0
AUTOMOTIVE,Powered Lift Truck Technician,282E,NO,64,<20,>20,<20,35,25,<20,<20,47,9,1
AUTOMOTIVE,Recreation Vehicle Technician,690H,YES,67,<20,>20,<20,<20,31,<20,<20,32,1,0
AUTOMOTIVE,Small Engine Technician,435A,NO,244,<20,>20,27,160,38,<20,<20,210,4,0
AUTOMOTIVE,Tire Wheel and Rim Mechanic,295A,NO,<20,0,<20,<20,<20,<20,<20,<20,13,0,0
AUTOMOTIVE,Transmission Technician,310D,NO,70,<20,>20,<20,25,29,<20,<20,56,1,0
AUTOMOTIVE,Truck and Coach Technician,310T,YES,3645,50,3595,272,2150,964,216,43,1731,11,1
AUTOMOTIVE,Truck-Trailer Service Technician,310J,YES,221,0,221,<20,84,94,31,<20,116,1,0
AUTOMOTIVE,Turf Equipment Technician,421C,NO,<20,0,<20,0,<20,<20,0,0,8,1,0
CONSTRUCTION,Architectural Glass and Metal Technician,424A,YES,251,<20,>20,<20,127,99,<20,<20,45,0,2
CONSTRUCTION,Brick and Stone Mason,401A,YES,1595,<20,>20,33,884,542,105,31,444,6,4
CONSTRUCTION,Cement (Concrete ) Finisher,244G,NO,293,<20,>20,<20,95,154,27,<20,22,0,5
CONSTRUCTION,Cement Mason,419A,NO,<20,0,<20,<20,0,0,0,0,1,0,0
CONSTRUCTION,Concrete Pump Operator,637C,NO,24,0,24,0,<20,<20,0,0,2,0,1
CONSTRUCTION,Construction Boilermaker,428A,YES,198,<20,>20,0,>20,>20,<20,0,2,1,0
CONSTRUCTION,Construction Craft Worker,450A,YES,2338,53,2285,120,1311,737,146,24,132,2,11
CONSTRUCTION,Construction Millwright,426A,NO,370,<20,>20,<20,215,133,<20,<20,25,4,0
CONSTRUCTION,Drywall Finisher and Plasterer,453A,YES,405,<20,>20,<20,179,176,37,<20,31,0,1
CONSTRUCTION,"Drywall, Acoustic and Lathing Applicator",451A,YES,1169,<20,>20,>20,>20,>20,>20,<20,37,0,4
CONSTRUCTION,Exterior Insulated Finish Systems Mechanic,455A,NO,52,0,52,0,21,<20,<20,<20,3,0,1
CONSTRUCTION,Electrician - Construction and Maintenance,309A,YES,9260,191,9069,536,6074,2215,355,80,3510,19,1
CONSTRUCTION,Electrician - Domestic and Rural,309C,NO,114,<20,>20,<20,73,22,<20,<20,84,18,0
CONSTRUCTION,Floor Covering Installer,448A,YES,305,<20,>20,<20,169,105,<20,<20,52,1,1
CONSTRUCTION,General Carpenter,403A,YES,6019,167,5852,425,4076,1336,153,29,2609,17,1
CONSTRUCTION,Hazardous Materials Worker,253H,NO,212,<20,>20,<20,80,82,34,<20,1,0,3
CONSTRUCTION,Heat and Frost Insulator,253A,NO,351,<20,>20,0,>20,>20,>20,<20,5,0,1
CONSTRUCTION,Heavy Equipment Operator - Dozer,636C,NO,207,<20,>20,<20,141,39,<20,<20,28,1,1
CONSTRUCTION,Heavy Equipment Operator - Excavator,636B,NO,259,<20,>20,21,171,54,<20,<20,52,1,1
CONSTRUCTION,Heavy Equipment Operator - Tractor Loader Backhoe,636A,NO,239,<20,>20,26,141,61,<20,<20,42,1,1
CONSTRUCTION,Hoisting Engineer - Mobile Crane Operator 1,339A,YES,351,<20,>20,<20,169,138,26,<20,92,1,2
CONSTRUCTION,Hoisting Engineer - Mobile Crane Operator 2,339C,NO,107,<20,>20,0,35,47,<20,<20,40,1,1
CONSTRUCTION,Hoisting Engineer - Tower Crane Operator,339B,YES,129,<20,>20,<20,69,49,<20,<20,29,1,1
CONSTRUCTION,Ironworker - Generalist,420B,YES,<20,0,<20,0,<20,<20,0,0,1,0,1
CONSTRUCTION,Ironworker - Structural and Ornamental,420A,YES,737,<20,>20,<20,434,259,38,<20,11,1,3
CONSTRUCTION,Native Residential Construction Worker,296A,NO,33,<20,>20,<20,<20,<20,<20,<20,7,0,0
CONSTRUCTION,Painter and Decorator - Commercial and Residential,404C,YES,87,<20,>20,<20,47,28,<20,<20,41,0,1
CONSTRUCTION,Painter and Decorator - Industrial,404D,NO,65,<20,>20,<20,37,23,<20,<20,9,0,2
CONSTRUCTION,Plumber,306A,YES,3337,51,3286,268,2124,813,106,26,1586,12,1
CONSTRUCTION,Powerline Technician,434A,YES,1222,<20,>20,>20,>20,>20,>20,<20,147,0,4
CONSTRUCTION,Precast Concrete Erector,244K,NO,<20,0,<20,0,<20,<20,<20,<20,3,0,0
CONSTRUCTION,Precast Concrete Finisher,244L,NO,<20,0,<20,0,0,0,<20,0,1,0,0
CONSTRUCTION,Refrigeration and Air Conditioning Systems Mechanic,313A,YES,1863,<20,>20,>20,>20,>20,>20,<20,904,6,1
CONSTRUCTION,Reinforcing Rodworker,452A,YES,540,<20,>20,<20,270,229,28,<20,8,1,3
CONSTRUCTION,Residential (Low-Rise) Sheet Metal Installer,308R,NO,68,<20,>20,<20,35,26,<20,<20,55,3,0
CONSTRUCTION,Residential Air Conditioning Systems Mechanic,313D,NO,350,<20,>20,<20,163,146,29,<20,251,7,0
CONSTRUCTION,Restoration Mason,244H,NO,<20,<20,<20,0,<20,<20,0,0,4,0,1
CONSTRUCTION,Roofer,449A,YES,173,<20,>20,<20,82,70,<20,<20,56,2,0
CONSTRUCTION,Sheet Metal Worker,308A,YES,1876,<20,>20,40,1103,621,92,20,726,4,2
CONSTRUCTION,Sprinkler and Fire Protection Installer,427A,YES,443,<20,>20,<20,283,137,<20,<20,23,0,1
CONSTRUCTION,Steamfitter,307A,YES,523,<20,>20,<20,286,191,30,<20,79,4,1
CONSTRUCTION,"Terrazzo, Tile and Marble Setter",241A,YES,207,<20,>20,<20,80,109,<20,0,23,0,1
INDUSTRIAL,Aircraft Maintenance Engineer,610C,NO,143,<20,>20,0,90,45,<20,<20,45,0,0
INDUSTRIAL,Bearings Mechanic,615A,NO,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAL,Blacksmith,600P,NO,<20,0,<20,0,<20,<20,0,0,4,0,0
INDUSTRIAL,Cabinetmaker,438A,YES,679,38,641,50,468,143,<20,<20,438,4,0
INDUSTRIAL,Carperson (Railway),268A,NO,<20,0,<20,0,0,<20,<20,<20,1,0,0
INDUSTRIAL,Composite Structures Technician,267G,NO,<20,0,<20,0,0,<20,0,0,1,0,0
INDUSTRIAL,Computer Numerical Control (CNC) Programmer,670C,NO,38,<20,>20,0,<20,<20,<20,0,21,1,0
INDUSTRIAL,Die Designer,670D,NO,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAL,Draftperson - Mechanical,614A,NO,<20,<20,<20,<20,<20,<20,0,0,6,0,0
INDUSTRIAL,Draftperson - Plastic Mould Design,614B,NO,<20,<20,<20,0,<20,<20,<20,0,9,0,0
INDUSTRIAL,Draftperson - Tool and Die Design,614C,NO,<20,0,<20,0,0,<20,0,0,1,0,0
INDUSTRIAL,Electric Motor System Technician,446A,YES,37,<20,>20,0,<20,<20,<20,0,19,0,0
INDUSTRIAL,Electrical Control (Machine) Builder,617A,NO,<20,<20,<20,0,<20,<20,0,0,3,0,0
INDUSTRIAL,Electrician (Signal Maintenance),289F,NO,36,0,36,0,<20,20,<20,<20,1,0,0
INDUSTRIAL,Elevating Devices Mechanic,636E,NO,653,<20,>20,<20,296,289,61,<20,57,1,1
INDUSTRIAL,Entertainment Industry Power Technician,269E,NO,<20,0,<20,0,<20,<20,<20,0,2,0,0
INDUSTRIAL,Facilities Mechanic,255W,NO,83,<20,>20,<20,<20,21,33,<20,55,1,0
INDUSTRIAL,Facilities Technician,255B,NO,109,<20,>20,<20,<20,43,34,<20,50,1,0
INDUSTRIAL,Fitter-Assembler (Motor Assembly),661H,NO,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAL,Gas Technician,636G,NO,44,0,44,0,21,<20,<20,<20,18,1,0
INDUSTRIAL,General Machinist,429A,YES,2150,63,2087,>20,>20,>20,>20,<20,1002,14,0
INDUSTRIAL,Hydraulic/Pneumatic Mechanic,277Z,NO,26,0,26,0,<20,<20,<20,0,7,0,0
INDUSTRIAL,Industrial Electrician,442A,YES,2418,94,2324,98,1312,761,191,56,751,20,0
INDUSTRIAL,Industrial Mechanic Millwright,433A,YES,3614,73,3541,153,1807,1269,309,76,1448,14,0
INDUSTRIAL,Instrumentation and Control Technician,447A,YES,526,55,471,<20,245,196,61,<20,60,7,0
INDUSTRIAL,Light Rail Overhead Contact Systems Lineperson,207S,NO,44,0,44,0,<20,24,<20,0,1,0,0
INDUSTRIAL,Locksmith,259L,NO,27,<20,>20,0,<20,<20,<20,<20,22,0,0
INDUSTRIAL,Machine Tool Builder and Integrator,430M,NO,50,<20,>20,<20,<20,27,<20,0,35,12,0
INDUSTRIAL,Metal Fabricator (Fitter),437A,YES,543,20,523,>20,>20,>20,>20,<20,252,11,5
INDUSTRIAL,Mould Maker,431A,NO,342,<20,>20,31,149,146,<20,<20,132,12,0
INDUSTRIAL,Optics Technician (Lens and Prism Maker),225A,NO,<20,<20,<20,0,<20,<20,0,0,1,0,0
INDUSTRIAL,Packaging Machine Mechanic,609C,NO,<20,0,<20,0,0,<20,<20,<20,3,0,0
INDUSTRIAL,Pattern Maker,443A,NO,<20,<20,>20,0,<20,<20,<20,0,13,12,0
INDUSTRIAL,Precision Metal Fabricator,200G,NO,96,<20,>20,<20,<20,54,22,<20,48,1,0
INDUSTRIAL,Pressure Systems Welder,456P,NO,21,<20,<20,<20,<20,<20,<20,0,2,0,3
INDUSTRIAL,Process Operator - Food Manufacturing,246T,NO,137,35,102,0,<20,74,38,<20,17,2,0
INDUSTRIAL,Process Operator - Power,246R,NO,336,48,288,<20,179,112,24,<20,2,0,0
INDUSTRIAL,"Process Operator: Refinery, Chemical and Liquid Processes",246F,NO,276,20,256,<20,134,90,30,<20,19,0,0
INDUSTRIAL,Pump Systems Installer,263F,NO,<20,0,<20,0,<20,<20,0,0,5,0,0
INDUSTRIAL,Railway Car Technician,268R,NO,115,<20,>20,<20,61,41,<20,<20,6,1,0
INDUSTRIAL,Relay and Instrumentation Technician,288R,NO,<20,0,<20,0,0,<20,0,<20,1,0,0
INDUSTRIAL,Roll Grinder/Turner,602H,NO,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAL,Saw Filer/Fitter,611B,NO,<20,0,<20,0,<20,<20,<20,<20,7,1,0
INDUSTRIAL,Ski Lift Mechanic,297A,NO,<20,0,<20,0,0,<20,<20,<20,2,0,0
INDUSTRIAL,Surface Blaster,278B,NO,31,0,31,0,<20,<20,<20,0,14,0,0
INDUSTRIAL,Surface Mount Assembler,630B,NO,<20,<20,<20,0,0,<20,<20,<20,3,0,0
INDUSTRIAL,Thin Film Technician,225F,NO,<20,<20,0,0,<20,<20,0,0,1,0,0
INDUSTRIAL,Tool and Cutter Grinder,602C,NO,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAL,Tool and Die Maker,430A,YES,997,24,973,>20,>20,>20,>20,<20,478,12,0
INDUSTRIAL,Tool and Gauge Inspector,239b,NO,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAL,Tool/Tooling Maker,630T,NO,46,<20,>20,<20,29,<20,<20,0,29,12,0
INDUSTRIAL,Tractor-Trailer Commercial Driver,638A,NO,1101,42,1059,<20,>20,>20,>20,>20,91,0,0
INDUSTRIAL,Water Meter Installer,800A,NO,1715,27,1688,21,803,567,186,138,662,0,0
INDUSTRIAL,Water Well Driller,605B,NO,33,<20,>20,0,<20,<20,<20,0,8,0,0
INDUSTRIAL,Welder,456A,YES,1512,86,1426,>20,>20,>20,>20,<20,634,12,7
INDUSTRIAL,Wooden Boat Rebuilder,211W,NO,<20,0,<20,<20,<20,<20,0,0,5,0,0
SERVICE,Aboriginal Child Care Practitioner,620B,NO,<20,<20,0,0,<20,0,0,0,1,0,0
SERVICE,Agricultural - Dairy Herdsperson,640D,NO,69,<20,>20,<20,53,<20,0,0,67,0,1
SERVICE,Agricultural - Fruit Grower,640F,NO,<20,0,<20,0,0,<20,<20,0,2,0,0
SERVICE,Agricultural - Swine Herdsperson,640S,NO,<20,<20,<20,<20,<20,<20,<20,0,10,0,0
SERVICE,Appliance Service Technician,445A,YES,42,<20,>20,<20,23,<20,<20,<20,37,0,0
SERVICE,Arborist,444A,NO,377,25,352,<20,214,128,23,<20,158,2,0
SERVICE,Assistant Cook,415B,NO,270,124,146,>20,>20,>20,>20,<20,200,19,1
SERVICE,Baker,423A,NO,154,98,56,55,80,<20,<20,0,115,3,0
SERVICE,Baker-Patissier,423C,YES,404,298,106,62,242,86,<20,<20,280,2,0
SERVICE,Bicycle Mechanic,297C,NO,<20,0,<20,<20,<20,0,0,<20,3,0,0
SERVICE,Chef,415C,NO,<20,<20,<20,0,<20,<20,<20,<20,19,1,0
SERVICE,Child and Youth Worker,620A,NO,1110,839,271,70,424,332,191,93,479,4,0
SERVICE,Child Development Practitioner,620C,NO,5754,5394,360,398,2330,1913,858,255,2274,15,0
SERVICE,Child Development Practitioner - Inclusion Practices,620G,NO,66,>20,<20,0,<20,33,<20,<20,50,1,0
SERVICE,Cook,415A,YES,5467,1830,3637,636,3474,1098,187,72,2395,21,1
SERVICE,Developmental Services Worker,620D,NO,1432,1059,373,<20,>20,>20,>20,>20,226,11,0
SERVICE,Educational Assistant,620E,NO,629,544,85,68,179,197,135,50,268,5,0
SERVICE,Electronic Service Technician,416E,YES,34,<20,>20,0,<20,<20,<20,<20,8,0,0
SERVICE,Gemsetter/Goldsmith,606G,NO,<20,0,<20,0,<20,0,0,0,2,0,0
SERVICE,Hairstylist,332A,YES,7496,6637,859,594,4474,1913,393,122,4071,12,2
SERVICE,"Hardware, Lumber and Building Materials Retailer",606W,NO,53,<20,>20,<20,<20,22,<20,<20,31,0,0
SERVICE,Horse Groom,600H,NO,83,>20,<20,<20,46,<20,<20,<20,30,0,1
SERVICE,Horse Harness Maker,219D,NO,0,0,0,0,0,0,0,0,0,0,0
SERVICE,Horticultural Technician,441C,YES,836,196,640,20,491,248,56,21,517,4,1
SERVICE,Information Technology - Contact Centre Customer Service Agent,634E,NO,11706,6631,5075,151,5467,3897,1358,833,103,7,0
SERVICE,Information Technology - Contact Centre Sales Agent,634D,NO,2606,1396,1210,<20,>20,>20,>20,>20,39,6,0
SERVICE,Information Technology - Contact Centre Technical Support Agent,634A,NO,3173,695,2478,<20,>20,>20,>20,>20,47,5,0
SERVICE,Information Technology - Hardware Technician,634B,NO,115,<20,>20,<20,86,<20,<20,0,70,1,0
SERVICE,Information Technology - Network Technician,634C,NO,64,<20,>20,<20,<20,30,<20,<20,30,1,0
SERVICE,Institutional Cook,415D,NO,36,>20,<20,<20,<20,<20,<20,<20,19,3,0
SERVICE,Micro Electronics Manufacturer,630A,NO,196,103,93,0,<20,99,60,<20,5,1,0
SERVICE,Native Clothing and Crafts Artisan,296B,NO,0,0,0,0,0,0,0,0,0,0,0
SERVICE,Network Cabling Specialist,631A,NO,257,<20,>20,<20,91,102,52,<20,72,1,1
SERVICE,Parts Technician,240P,YES,340,66,274,<20,>20,>20,>20,>20,157,2,0
SERVICE,"Pool, Hot Tub and Spa - Installer",237T,NO,34,0,34,0,<20,21,<20,0,15,0,0
SERVICE,"Pool, Hot Tub and Spa - Service Technician",237S,NO,60,<20,>20,0,<20,34,<20,<20,24,0,0
SERVICE,Retail Meat Cutter,245R,NO,111,<20,>20,<20,61,27,<20,<20,82,0,1
SERVICE,Saddlery,219C,NO,<20,0,<20,0,0,0,<20,0,1,0,0
SERVICE,Special Events Coordinator,297B,NO,46,>20,<20,<20,<20,<20,<20,<20,24,0,0
SERVICE,Utility Arborist,444B,NO,235,<20,>20,<20,140,79,<20,<20,37,2,1
,,Grand Total,,116499,28095,88404,6840,63974,33794,8564,3327,33603,24,53
,,* Unique Counts cannot be derived by summing these columns. Unique totals are provided on the Grand Total Summary Line.,,,,,,,,,,,,
,,Notes:,,,,,,,,,,,,
,,"1. Cells with counts representing individuals that total less than 20 have been supressed for privacy reasons indicated with an ""<20"". ",,,,,,,,,,,,
,,"When appropriate, counts of remaining age ranges in the same trade, where providing those values allow the suppressed value to be calculated, ",,,,,,,,,,,,
,,"were also supressed for privacy reasons and indicated with an "">20"".",,,,,,,,,,,,
,,"2.As one employer may sponsor apprentices in multiple trades, this column cannot be summed to arrive at the total number of unique apprenticeship sponsors. ",,,,,,,,,,,,
,,3.Training Delivery Agents (TDAs) are approved by the Ministry to deliver in the in-class component of apprenticeship program. ,,,,,,,,,,,,
,,"4.As one TDA may deliver classroom training for multiple trades, this column cannot be summed to arrive at the total number of unique TDAs. ",,,,,,,,,,,,
